start_day,end_day,phase,objective,hypothesis,action,deliverable,metric,decision_rule,owner
1,7,Days 1-30,Choose the first wedge,BFSI/govtech document or voice workflows have urgent Indian-language pain and budget.,"Interview 10 target buyers and rank workflows by volume, urgency, and incumbent dissatisfaction.",ICP brief and ranked use-case scorecard,10 interviews; 5 qualified pain statements,"If fewer than 3 buyers name a near-term production trigger, change vertical or trigger.",Founder/GTÃƒÂÃ…â€œ
5,14,Days 1-30,Build the benchmark,Sarvam can win on quality or workflow simplicity on real Indian-language data.,Collect consented sample documents/audio and benchmark Sarvam against incumbent/open alternative.,Reproducible benchmark harness and report,At least 100 documents or 10 hours audio across target languages,Continue only if one workflow shows a measurable win or materially lower integration cost.,Product/Engineering
10,21,Days 1-30,Package the pilot,"A fixed-credit, fixed-scope pilot will convert evaluation into paid production intent.","Create pilot scope, acceptance criteria, pricing page/one-pager, and security FAQ.",Pilot offer and buyer-facing collateral,3 design partners accept evaluation plan,"If buyers reject paid conversion criteria, revise value metric and proof of ROI.",Founder/Product
18,30,Days 1-30,Fill the pipeline,Targeted technical outreach beats broad awareness for the first wedge.,"Contact 50 named accounts through founder-led outreach, partners, and relevant communities.",Qualified pipeline with next steps,50 accounts; 8 qualified evaluations,"If reply/qualification is weak, switch trigger or partner source before adding spend.",Founder/Sales
31,45,Days 31-60,Run pilots,The winning workflow can reach production acceptance within 2 weeks.,Launch 4 scoped pilots with weekly technical and buyer reviews.,Pilot scorecards and implementation notes,4 pilots started; time-to-first-value under 7 days,"Stop pilots with no data owner, acceptance metric, or production sponsor.",Solutions/Engineering
40,55,Days 31-60,Validate economics,Usage revenue covers variable inference and support costs at the proposed package.,"Instrument usage, infra cost, support hours, and outcome value by account.",Account-level gross-margin sheet and pricing readout,Cost and usage captured for all active pilots,Do not scale a use case with negative contribution after support cost.,Finance/Operations
46,60,Days 31-60,Improve conversion,"Buyers pay for production confidence, rate limits, and supportÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Ânot raw model access alone.","Test Pro/Business credit packages, annual discount, and paid implementation boundary.",Offer experiment results,At least 2 pricing conversations with concrete objections and one verbal commit,Keep only packaging with clear upgrade trigger and acceptable margin hypothesis.,Founder/Sales
61,75,Days 61-90,Convert production accounts,A successful pilot can convert to recurring usage within 30 days.,"Close pilots with production plan, contract path, usage forecast, and support scope.",Paid production contracts or documented loss reasons,1-2 paid conversions; 90-day usage forecast per account,"If zero conversions after 4 completed pilots, change ICP, offer, or proofÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Ânot just lead volume.",Founder/Sales
70,84,Days 61-90,Build repeatability,A standard benchmark and pilot playbook can reduce sales/implementation effort.,"Document qualification, benchmark, security, pricing, and handoff steps; recruit one channel partner.",Pilot-to-paid playbook and partner brief,Second pilot delivered with 25% less internal effort,Scale the channel only if partner-sourced opportunity reaches qualification threshold.,Growth/Operations
80,90,Days 61-90,Make the scale decision,"The winning wedge has enough conversion, margin, retention signal, and reachable pipeline to justify investment.","Review funnel, usage gross profit, support load, churn signals, and model quality by segment.",90-day decision memo and next-quarter plan,"Paid conversion, contribution margin, pipeline coverage, and pilot effort meet thresholds",Scale only if contribution is positive and at least one repeatable acquisition path is evidenced.,Leadership
